Saint-Aubin-sur-Gaillon (27517)
Saint-Aubin-sur-Quillebeuf (27518)
Saint-Benoît-des-Ombres (27520)
Saint-Christophe-sur-Avre (27521)
Saint-Christophe-sur-Condé (27522)
Saint-Cyr-de-Salerne (27527)
Saint-Cyr-la-Campagne (27529)
Saint-Denis-d'Augerons (27530)
Saint-Denis-des-Monts (27531)
Saint-Denis-le-Ferment (27533)
Saint-Didier-des-Bois (27534)
Saint-Élier (27535)
Saint-Éloi-de-Fourques (27536)
Saint-Étienne-du-Vauvray (27537)
Saint-Étienne-l'Allier (27538)
Saint-Étienne-sous-Bailleul (27539)
Saint-Georges-du-Vièvre (27542)
Saint-Georges-Motel (27543)
Saint-Germain-de-Fresney (27544)
Saint-Germain-de-Pasquier (27545)
Saint-Germain-des-Angles (27546)
Saint-Germain-la-Campagne (27547)
Saint-Germain-sur-Avre (27548)
Saint-Grégoire-du-Vièvre (27550)
Saint-Jean-du-Thenney (27552)
Saint-Julien-de-la-Liègue (27553)
Saint-Laurent-des-Bois (27555)
Saint-Laurent-du-Tencement (27556)
Saint-Léger-de-Rôtes (27557)
Saint-Léger-du-Gennetey (27558)
Saint-Luc (27560)
Saint-Maclou (27561)
Saint-Marcel (27562)
Saint-Mards-de-Blacarville (27563)
Saint-Mards-de-Fresne (27564)
Saint-Martin-du-Tilleul (27569)
Saint-Martin-la-Campagne (27570)
Saint-Martin-Saint-Firmin (27571)
Saint-Meslin-du-Bosc (27572)
Saint-Ouen-de-Pontcheuil (27579)
Saint-Ouen-de-Thouberville (27580)
Saint-Ouen-du-Tilleul (27582)
Saint-Paul-de-Fourques (27584)
Saint-Philbert-sur-Boissey (27586)
Saint-Philbert-sur-Risle (27587)
Saint-Pierre-de-Bailleul (27589)
Saint-Pierre-de-Cernières (27590)
Saint-Pierre-de-Cormeilles (27591)
Saint-Pierre-de-Salerne (27592)
Saint-Pierre-des-Fleurs (27593)
Saint-Pierre-des-Ifs (27594)
Saint-Pierre-du-Bosguérard (27595)
Saint-Pierre-du-Val (27597)
Saint-Pierre-du-Vauvray (27598)
Saint-Pierre-la-Garenne (27599)
Saint-Samson-de-la-Roque (27601)
Saint-Sébastien-de-Morsent (27602)
Saint-Siméon (27603)
Saint-Sulpice-de-Grimbouville (27604)
Saint-Sylvestre-de-Cormeilles (27605)
Saint-Symphorien (27606)
Saint-Victor-d'Épine (27609)
Saint-Victor-de-Chrétienville (27608)
Saint-Victor-sur-Avre (27610)
Saint-Vigor (27611)
Saint-Vincent-des-Bois (27612)
Saint-Vincent-du-Boulay (27613)
Sainte-Colombe-la-Commanderie (27524)
Sainte-Colombe-près-Vernon (27525)
Sainte-Geneviève-lès-Gasny (27540)
Sainte-Marie-d'Attez (27578)
Sainte-Marie-de-Vatimesnil (27567)
Sainte-Marthe (27568)
Sainte-Opportune-du-Bosc (27576)
Sainte-Opportune-la-Mare (27577)
Sancourt (27614)
Sassey (27615)
